Site,Lat,Lon
ANU,-35.27770894,149.1143886
CK,-35.26685156,149.069044
CP,-35.26947097,149.1428614
Garis Place McGregor,-35.2067233,149.0132947
Gungahlin,-35.167905,149.145004
Hackett Oval,-35.25177165,149.161639
Higgins,-35.22840046,149.0242081
Lake Ginninderra,-35.23103972,149.0725619
Lyneam Shops Creek,-35.25555666,149.1284578
Narrabundah,-35.3369881,149.1535107
O'Connor,-35.25852246,149.1149828
Telopea Park,-35.31535136,149.1371152
War Memorial,-35.28235688,149.1465272
Watson Dog Park,-35.23725198,149.1611433
Yarralulma,-35.30731,149.101337