Roost,CODE,Lat,Long,Count
ANU,ANU,-35.27770894,149.1143886,287
Cook,CK,-35.26685156,149.069044,176
Corroboree Park,CP,-35.26947097,149.1428614,52
Garis Place McGregor,GPM,-35.2067233,149.0132947,165
Gungahlin,GU,-35.167905,149.145004,130
Hackett Oval,HA,-35.25177165,149.161639,97
Higgins,HIG,-35.22840046,149.0242081,103
Lake Ginninderra,LG,-35.23103972,149.0725619,454
Lyneam Shops Creek,LY,-35.25555666,149.1284578,41
Narrabundah,NAR,-35.3369881,149.1535107,270
O'Connor,OC,-35.25852246,149.1149828,165
Telopea Park,TP,-35.31535136,149.1371152,320
War Memorial,WM,-35.28235688,149.1465272,82
Watson Dog Park,WA,-35.23725198,149.1611433,151
Yarralulma,YA,-35.30731,149.101337,280