Lat,Long,NAME
-35.35469647,149.1404508,Callum Brae Nature Reserve
-35.30253168,149.0839938,royal canberra golf club
-35.35494746,149.0657465,Waramanga
-35.33038408,148.99846,Mt Stromlo
-35.33200827,149.107383,Red Hill
-35.40740439,149.1175501,Hannah Community Park
-35.21007668,149.0450122,Flynn
-35.39284827,149.044868,Murrumbidgee Golf Course Kambah
-35.36128907,149.0066354,Chapman horse paddocks
-35.44038109,148.9271356,Tidbinbilla
-35.20515704,149.0532437,Melba
-35.40269186,149.0716201,Lake Tuggeranong
-35.45248812,149.1003131,Tuggeranong Hill Nature Reserve
-35.33729755,149.0449858,Holder Shops
-35.39284827,149.044868,Murrumbidgee Golf Course Kambah
-35.349012,149.240989,Queanbeyan East
-35.1920433,149.1255637,Palmerston
-35.168495,149.1255296,Augusta Place
-35.1723611,149.1271111,Lockhart Place Playground
-35.1675285,149.1221313,Reeve Close
-35.22296943,149.1118196,Kaleen Primary
-35.2038556,149.1157247,"Crace, Drooka Cres"
-35.2527952,149.1345013,Dickson Ambulance