Roost,Roost.size,Latitude,Longitude,Distance,Position,Level,Region,Installation.date,Installation.time.end.,Took.down.or.Solving,Species,Latency_1stapproach,Solving.time,Latency_Solving,Mean.approach.duration,Approaches,Solved,UI,O.Neill
ANU,287,-35.277264,149.114302,20.4,Right,1,North,20230629,29/6/2023 16:50,1/7/2023 02:10,Cacatua galerita,NA,NA,NA,0,0,0,-0.411539234,2.38556
ANU,287,-35.277264,149.114302,22.9,Left,2,North,20230629,29/6/2023 16:50,5/7/2023 06:43,Cacatua galerita,NA,NA,NA,0,0,0,-0.411539234,2.38556
ANU,287,-35.277264,149.114302,9.5,Center,3,North,20230629,29/6/2023 16:50,1/7/2023 02:45,Cacatua galerita,NA,NA,NA,0,0,0,-0.411539234,2.38556
Cook,176,-35.266798,149.069337,7.6,Center,2,Belconnen,20230624,24/6/2023 10:30,7/7/2023 03:02,Cacatua galerita,NA,NA,NA,0,0,0,0.307843649,1.872539
Corroboree Park,52,-35.269,149.141853,NA,Left,1,North,20230630,30/6/2023 16:50,4/7/2023 17:13,Cacatua galerita,90812,4/7/2023 17:13,256184,90.21428571,27,1,-0.008539533,2.612594
Garis Place,165,-35.207972,149.01435,4.8,Center,1,Belconnen,20230616,16/6/2023 15:10,11/8/2023 11:00,Cacatua galerita,701773,NA,NA,40.5,4,0,1.39763251,2.296369
Garis Place,165,-35.207972,149.01435,NA,Right,2,Belconnen,20230616,16/6/2023 15:10,11/8/2023 11:00,Cacatua galerita,NA,NA,NA,0,0,0,1.39763251,2.296369
Garis Place,165,-35.207972,149.01435,12,Left,3,Belconnen,20230616,16/6/2023 15:10,11/8/2023 11:00,Cacatua galerita,81717,NA,NA,98.16216216,72,0,1.39763251,2.296369
Gungahlin,130,-35.167771,149.144915,NA,Left,1,Gungahlin,20230614,14/6/2023 16:00,27/6/2023 11:58,Cacatua galerita,93738,NA,NA,92.7,10,0,1.325772421,2.431183
Gungahlin,130,-35.167771,149.144915,10.8,Center,2,Gungahlin,20230614,14/6/2023 16:00,18/7/2023 11:57,Cacatua galerita,93068,NA,NA,53.16666667,12,0,1.325772421,2.431183
Gungahlin,130,-35.167771,149.144915,NA,Right,3,Gungahlin,20230614,14/6/2023 16:00,9/7/2023 17:12,Cacatua galerita,91944,9/7/2023 17:12,2072380,31.2,4,1,1.325772421,2.431183
Hackett,97,-35.252048,149.161005,9.5,Left,1,North,20230718,18/7/2023 11:45,20/7/2023 11:16,Cacatua galerita,170366,20/7/2023 11:16,697,170.5,3,1,-1.229035332,2.022477
Hackett,97,-35.252048,149.161005,10.1,Right,3,North,20230718,18/7/2023 11:45,12/9/2023 11:45,Cacatua galerita,3207311,NA,NA,104.4285714,7,0,-1.229035332,2.022477
Higgins,103,-35.228725,149.024226,8.4,Center,1,Belconnen,20230620,20/6/2023 13:20,5/7/2023 08:16,Cacatua galerita,1277782,5/7/2023 08:16,29,100,2,1,0.895896786,2.56934
Higgins,103,-35.228725,149.024226,12.3,Right,2,Belconnen,20230621,20/6/2023 13:20,20/6/2023 19:54,Cacatua galerita,NA,NA,NA,0,0,0,0.895896786,2.56934
Lake Ginninderra,454,-35.231289,149.073231,12,Center,1,Belconnen,20230620,20/6/2023 10:40,28/6/2023 22:56,Cacatua galerita,NA,NA,NA,0,0,0,1.406180015,2.711737
Lake Ginninderra,454,-35.231289,149.073231,NA,Left,3,Belconnen,20230620,20/6/2023 10:40,11/8/2023 12:08,Cacatua galerita,NA,NA,NA,0,0,0,1.406180015,2.711737
Lyneam,41,-35.25562,149.128381,13,Right,1,North,20230624,24/6/2023 14:00,27/6/2023 12:30,Cacatua galerita,253836,27/6/2023 12:30,22,658,0,1,0.506605631,2.804285
Lyneam,41,-35.254317,149.127706,9.5,Left,2,North,20230624,24/6/2023 14:00,12/7/2023 11:19,Cacatua galerita,771950,12/7/2023 11:19,773623,206.6315789,18,1,0.506605631,2.804285
Lyneam,41,-35.254317,149.127706,NA,Center,3,North,20230624,24/6/2023 14:00,12/7/2023 12:53,Cacatua galerita,505794,12/7/2023 12:53,1045441,222.8,20,1,0.506605631,2.804285
Narrabundah,270,-35.336765,149.152358,10.9,Center,1,South,20230829,29/8/2023 13:20,9/9/2023 18:26,Cacatua galerita,19823,9/9/2023 18:26,948946,45.94117647,16,1,1.185692518,2.439549
Narrabundah,270,-35.336897,149.151536,10.4,Left,2,South,20230829,29/8/2023 13:20,24/10/2023 13:20,Cacatua galerita,364866,NA,NA,120.8,5,0,1.185692518,2.439549
Narrabundah,270,-35.337425,149.153887,16.3,Right,3,South,20230829,29/8/2023 13:20,8/9/2023 19:15,Cacatua galerita,710435,8/9/2023 19:15,174882,367.6666667,5,1,1.185692518,2.439549
O'Connor,165,-35.258916,149.113906,10.3,Left,2,North,20230624,24/6/2023 17:00,19/8/2023 17:00,Cacatua galerita,2985353,NA,NA,8.5,2,0,-0.731595913,2.310014
O'Connor,165,-35.258916,149.113906,NA,Right,3,North,20230624,25/6/2023 17:00,26/7/2023 02:10,Cacatua galerita,NA,NA,NA,0,0,0,-0.731595913,2.310014
Telopea Park,320,-35.316269,149.136911,10.9,Right,1,South,20230816,16/8/2023 11:50,17/8/2023 10:57,Cacatua galerita,NA,NA,NA,0,0,0,0.991942454,2.84118
Telopea Park,320,-35.316269,149.136911,10.6,Left,2,South,20230816,16/8/2023 11:50,2/9/2023 11:24,Cacatua galerita,92325,2/9/2023 11:24,1374966,307,5,1,0.991942454,2.84118
Telopea Park,320,-35.316269,149.136911,10.4,Center,3,South,20230816,16/8/2023 11:50,17/8/2023 03:14,Cacatua galerita,NA,NA,NA,0,0,0,0.991942454,2.84118
War Memorial,82,-35.28384,149.145197,12.5,Right,1,North,20230703,3/7/2023 13:15,13/7/2023 08:41,Cacatua galerita,NA,NA,NA,0,0,0,-0.133344554,2.569044
War Memorial,82,-35.28384,149.145197,9.7,Left,2,North,20230703,3/7/2023 13:15,28/8/2023 13:15,Cacatua galerita,1816983,NA,NA,97.52727273,55,0,-0.133344554,2.569044
Watson,151,-35.237272,149.161154,13.3,Center,1,North,20230718,18/7/2023 13:50,6/8/2023 18:35,Cacatua galerita,880837,6/8/2023 18:35,777906,265.5,1,1,-0.172817052,2.364287
Watson,151,-35.237174,149.161549,17.3,Right,2,North,20230718,18/7/2023 13:50,19/8/2023 12:32,Cacatua galerita,2758857,19/8/2023 12:32,1314,715,2,1,-0.172817052,2.364287
Watson,151,-35.237104,149.160883,6.5,Left,3,North,20230718,18/7/2023 13:50,12/9/2023 13:50,Cacatua galerita,3992840,NA,NA,24,1,0,-0.172817052,2.364287
Yarralulma,280,-35.30691,149.101011,12.9,Center,1,South,20230824,24/8/2023 11:50,30/8/2023 10:55,Cacatua galerita,513408,30/8/2023 10:55,1711,459,2,1,0.568560545,2.501617
Yarralulma,280,-35.306828,149.100369,20.1,Left,2,South,20230824,24/8/2023 11:50,19/10/2023 11:50,Cacatua galerita,456755,NA,NA,141.8571429,7,0,0.568560545,2.501617
Yarralulma,280,-35.307398,149.101357,16,Right,3,South,20230824,24/8/2023 11:50,1/9/2023 11:25,Cacatua galerita,101995,1/9/2023 11:25,587746,231.3333333,2,1,0.568560545,2.501617